TXNAME,SYMBOL
ENSMUST00000164806.5,Adsl
ENSMUST00000166711.7,Adsl
ENSMUST00000207170.1,Adsl
ENSMUST00000023043.9,Adsl
ENSMUST00000169238.7,Adsl
ENSMUST00000164371.1,Adsl
ENSMUST00000163575.1,Adsl
ENSMUST00000200201.4,Adsl
ENSMUST00000168756.7,Adsl
ENSMUST00000223044.1,Adssl1
ENSMUST00000180015.8,Adssl1
ENSMUST00000021726.7,Adssl1
ENSMUST00000221720.1,Adssl1
ENSMUST00000016105.8,Adss
ENSMUST00000159184.1,Adss
ENSMUST00000161808.1,Adss
ENSMUST00000142698.7,Avil
ENSMUST00000129173.1,Avil
ENSMUST00000026500.11,Avil
ENSMUST00000126816.7,Avil
ENSMUST00000109829.1,Aebp1
ENSMUST00000102923.9,Aebp1
ENSMUST00000138103.1,Aebp1
ENSMUST00000087614.10,Aebp2
ENSMUST00000032359.14,Aebp2
ENSMUST00000162903.6,Aebp2
ENSMUST00000095350.10,Aebp2
ENSMUST00000160836.7,Aebp2
ENSMUST00000161335.7,Aebp2
ENSMUST00000162100.6,Aebp2
ENSMUST00000160772.1,Aebp2
ENSMUST00000026498.4,Crisp1
ENSMUST00000026499.5,Crisp3
ENSMUST00000200693.1,Afp
ENSMUST00000202209.1,Afp
ENSMUST00000042755.6,Afp
ENSMUST00000201061.1,Afp
ENSMUST00000200728.1,Afp
ENSMUST00000211424.1,Aga
ENSMUST00000033920.5,Aga
ENSMUST00000209811.1,Aga
ENSMUST00000032835.6,Acan
ENSMUST00000206779.1,Acan
ENSMUST00000172757.7,Ager
ENSMUST00000174496.8,Ager
ENSMUST00000184805.7,Ager
ENSMUST00000184846.7,Ager
ENSMUST00000170161.7,Ager
ENSMUST00000174640.7,Ager
ENSMUST00000173551.7,Ager
ENSMUST00000173589.7,Ager
ENSMUST00000174554.7,Ager
ENSMUST00000015596.9,Ager
ENSMUST00000172932.1,Ager
ENSMUST00000174069.7,Ager
ENSMUST00000173992.7,Ager
ENSMUST00000022921.6,Angpt1
ENSMUST00000227738.1,Angpt1
ENSMUST00000170200.1,Angpt2
ENSMUST00000033846.6,Angpt2
ENSMUST00000028955.5,Angpt4
ENSMUST00000105575.8,Agrn
ENSMUST00000154494.7,Agrn
ENSMUST00000071248.11,Agrn
ENSMUST00000105574.8,Agrn
ENSMUST00000181062.7,Agrn
ENSMUST00000180572.1,Agrn
ENSMUST00000144749.1,Agrn
ENSMUST00000005849.10,Agrp
ENSMUST00000194091.5,Agrp
ENSMUST00000194654.1,Agrp
ENSMUST00000033621.7,Gla
ENSMUST00000153024.1,Gla
ENSMUST00000239113.1,Gla
ENSMUST00000063278.6,Agt
ENSMUST00000238882.1,Agt
ENSMUST00000222503.1,Agtr1a
ENSMUST00000143181.7,Agtr1a
ENSMUST00000221743.1,Agtr1a
ENSMUST00000222370.1,Agtr1a
ENSMUST00000066412.7,Agtr1a
ENSMUST00000223201.1,Agtr1a
ENSMUST00000163776.2,Agtr1b
ENSMUST00000068316.7,Agtr1b
ENSMUST00000131150.1,Agtr2
ENSMUST00000089188.8,Agtr2
ENSMUST00000030865.8,Agtrap
ENSMUST00000137393.1,Agtrap
ENSMUST00000152323.1,Agtrap
ENSMUST00000027491.6,Agxt
ENSMUST00000190603.1,Agxt
ENSMUST00000191039.1,Agxt
ENSMUST00000026036.4,Nr0b1
ENSMUST00000059524.6,Gm4737
ENSMUST00000173414.1,Ahr
ENSMUST00000110811.2,Ahr
ENSMUST00000116436.8,Ahr
ENSMUST00000222649.1,Ahrr
ENSMUST00000022059.13,Ahrr
ENSMUST00000137538.7,Ahrr
ENSMUST00000222032.1,Ahrr
ENSMUST00000109640.7,Ahrr
ENSMUST00000123058.1,Ahrr
ENSMUST00000148438.7,Ahrr
ENSMUST00000231328.1,Ahsg
ENSMUST00000231848.1,Ahsg
ENSMUST00000231932.1,Ahsg
ENSMUST00000232556.1,Ahsg
ENSMUST00000232098.1,Ahsg
ENSMUST00000232674.1,Ahsg
ENSMUST00000023583.6,Ahsg
ENSMUST00000232377.1,Ahsg
ENSMUST00000043301.13,Aicda
ENSMUST00000160685.1,Aicda
ENSMUST00000025257.11,Aif1
ENSMUST00000172679.1,Aif1
ENSMUST00000172693.7,Aif1
ENSMUST00000173324.7,Aif1
ENSMUST00000173106.1,Aif1
ENSMUST00000174044.1,Aif1
ENSMUST00000173281.7,Aif1
ENSMUST00000200401.1,Crybg1
ENSMUST00000020017.13,Crybg1
ENSMUST00000239010.1,Crybg1
ENSMUST00000136043.1,Aip
ENSMUST00000236509.1,Aip
ENSMUST00000025767.13,Aip
ENSMUST00000121402.1,Aip
ENSMUST00000127767.1,Aip
ENSMUST00000117831.7,Aip
ENSMUST00000130972.7,Aire
ENSMUST00000145975.7,Aire
ENSMUST00000143452.1,Aire
ENSMUST00000141255.1,Aire
ENSMUST00000019257.14,Aire
ENSMUST00000105396.8,Aire
ENSMUST00000143548.7,Aire
ENSMUST00000131028.7,Aire
ENSMUST00000156417.7,Aire
ENSMUST00000143735.7,Aire
ENSMUST00000154374.1,Aire
ENSMUST00000128241.7,Aire
ENSMUST00000148469.7,Aire
ENSMUST00000155021.7,Aire
ENSMUST00000105395.8,Aire
ENSMUST00000140636.7,Aire
ENSMUST00000156578.7,Ak1
ENSMUST00000113278.8,Ak1
ENSMUST00000113277.7,Ak1
ENSMUST00000195721.5,Ak1
ENSMUST00000068271.4,Ak1
ENSMUST00000135392.1,Ak1
ENSMUST00000141982.1,Ak2
ENSMUST00000152762.1,Ak2
ENSMUST00000030583.12,Ak2
ENSMUST00000102604.10,Ak2
ENSMUST00000106945.7,Ak4
ENSMUST00000102780.7,Ak4
ENSMUST00000106946.7,Ak4
ENSMUST00000155749.1,Ak4
ENSMUST00000131397.1,Ak4
ENSMUST00000133055.7,Ak4
ENSMUST00000151561.1,Ak4
ENSMUST00000153787.1,Akap1
ENSMUST00000107903.7,Akap1
ENSMUST00000018572.10,Akap1
ENSMUST00000107904.2,Akap1
ENSMUST00000153961.7,Akap1
ENSMUST00000143720.7,Akap1
ENSMUST00000202878.3,Akap3
ENSMUST00000202574.1,Akap3
ENSMUST00000095440.8,Akap3
ENSMUST00000115750.7,Akap4
ENSMUST00000115751.2,Akap4
ENSMUST00000057101.12,Akap4
ENSMUST00000141451.1,Alpl
ENSMUST00000139951.7,Alpl
ENSMUST00000138463.1,Alpl
ENSMUST00000133566.7,Alpl
ENSMUST00000153588.7,Alpl
ENSMUST00000030551.10,Alpl
ENSMUST00000143757.1,Alpl
ENSMUST00000133473.1,Alpl
ENSMUST00000044878.3,Akp3
ENSMUST00000187662.1,Akp3
ENSMUST00000027455.12,Alppl2
ENSMUST00000190082.1,Alppl2
ENSMUST00000188310.1,Alppl2
ENSMUST00000128300.8,Akt1
ENSMUST00000159815.1,Akt1
ENSMUST00000144550.8,Akt1
ENSMUST00000130342.1,Akt1
ENSMUST00000123563.8,Akt1
ENSMUST00000001780.9,Akt1
ENSMUST00000127902.1,Akt1
ENSMUST00000139388.2,Akt1
ENSMUST00000127588.2,Akt1
ENSMUST00000143499.7,Akt2
ENSMUST00000138459.7,Akt2
ENSMUST00000147263.1,Akt2
ENSMUST00000136962.7,Akt2
ENSMUST00000142365.7,Akt2
ENSMUST00000108343.7,Akt2
ENSMUST00000051356.11,Akt2
ENSMUST00000143347.1,Akt2
ENSMUST00000167435.7,Akt2
ENSMUST00000128540.7,Akt2
ENSMUST00000108342.7,Akt2
ENSMUST00000136981.1,Akt2
ENSMUST00000108344.8,Akt2
ENSMUST00000085917.4,Akt2
ENSMUST00000123115.1,Alas1
ENSMUST00000143125.1,Alas1
ENSMUST00000219340.1,Alas1
ENSMUST00000214989.1,Alas1
ENSMUST00000123601.1,Alas1
ENSMUST00000214249.1,Alas1
ENSMUST00000219129.1,Alas1
ENSMUST00000074082.12,Alas1
ENSMUST00000134053.7,Alas1
ENSMUST00000133617.2,Alas1
ENSMUST00000112524.8,Alas1
ENSMUST00000215222.1,Alas1
ENSMUST00000141118.8,Alas1
ENSMUST00000066337.12,Alas2
ENSMUST00000142474.1,Alas2
ENSMUST00000112715.1,Alas2
