"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"Q8C165","Pm20d1",26040.07813,16176.03516,15625.02637,16950.17969,31789.35352,28865.99609,30594.95898,33060.41406,18940.75586,18391.59961,13473.40723,16560.19336,14915.66797,30488.26953,14294.57129,17683.34375,16713.72266,18713.30273,18849.05078,,11828.36328,19633.36523,23626.75,,26941.00977,19890.38477,,20063.37109,20110.75391,25015.80078,18348.875,"PM20D1"
"Q8C255","Dpep2",,,,,4663.285645,2401.943604,3166.812256,3173.114014,,3188.441895,3665.351074,3600.600098,4291.599609,4361.808594,5277.662109,6374.097656,4999.959473,,4158.75,8698.335938,8320.519531,4361.636719,,5608.680176,4432.336914,3991.116211,3664.600342,2215.605957,,,3865.183105,"DPEP2"
"Q8C7E4","Rnase4",21800.27539,18115.03516,19496.12305,16105.68457,16222.18164,22826.48438,21678.08008,18603.2832,23754.57813,22567.39453,28851.89453,30964.7207,21837.55664,28206.79492,23914.26172,22827.98242,24863.42773,19803.89453,25020.85156,30178.71484,30177.95508,28732.91406,33970.03516,20465.20703,21262.68359,19185.97461,20948.08008,20772.33789,20386.54492,15977.77246,17806.8457,"RNASE4"
"Q8C7G5","Apoa5",15375.55273,13538.65234,15043.57813,10437.30566,11476.89258,9579.59668,14893.95703,15481.09473,11219.2002,16769.05859,13693.16699,18839.02148,11321.8457,19337.02344,12601.37695,12252.29004,11077.9668,8498.542969,10663.83496,,15488.83887,15620.72266,17386.38477,12152.28125,11030.66602,15116.2998,11556.17676,14004.3623,14413.7627,8612.249023,16698.55469,"APOA5"
"Q8CC86","Naprt",10145.11133,,,,9884.15918,8044.586426,11718.95508,9951.438477,,,,,,6412.70166,,,,3911.325928,,14690.49316,8923.304688,14311.60645,17445.44727,,,,,,,10613.82324,,"NAPRT"
"Q8CF98","Colec10",35011.79297,56371.82031,40446.27734,53606.82813,49997.50391,45181.16797,51224.98438,56867.15625,46356.46875,36142.50781,40541.57422,42068.90234,35967.25,42899.41797,46407.09766,45550.46094,40600.73828,50179.02344,45846.93359,56442.92188,48237.33594,62950.82813,58805.07031,47259.34375,47338.49609,39422.64453,45391,50956.39453,38697.68359,51845.51172,60664.10547,"COLEC10"
"Q8CG16","C1ra",207525.375,239356.0156,224324.1563,203160.375,202268.2813,190395.5781,164092.8438,179438.0938,218363.3125,188453.1406,215843.25,197291.2031,229718.0938,185249.6094,205430.3281,170891.7031,226554.1563,187624.7813,184433.6406,200578.4531,175093.2813,181586.7031,196747.2031,188560.7188,209275.4063,208025.125,179558.1719,205563.6094,207340.7188,204357.5938,210582.8906,"C1RA"
"Q8HWB2","H2-Q4",7170067.5,5546387,6368443.5,7610274.5,7848490,8288836.5,8107761.5,8233813.5,4705888,4351201.5,4261081,5180266.5,4541413.5,5765863,4479627.5,6810355,5982868.5,7154547.5,7437024,4879293.5,7155181,7384195.5,8359381.5,5685304.5,6126683.5,5449183.5,6475625,6396972.5,7107166,6751038,6451808.5,"H2-Q4"
"Q8K0E8","Fgb",29148844,35663120,37299904,31863536,33240866,31172304,34129516,34417252,37016832,38369300,39195960,36330672,39980552,39406352,38390372,35890212,36631676,37366184,36450568,29894214,35439292,33333124,30685650,35404088,30107620,41641752,41970236,32910880,40551808,32645798,36926432,"FGB"
"Q8K1I3","Spp2",489941,459276.4688,557019.1875,515936.9375,498355.625,540859.9375,539090.125,510184.5625,374154.1563,350841.5,331947.0938,370303.9063,466991.625,505113.25,356951.3125,622358.1875,420847.1563,540797.1875,516444.3125,401694.4063,584470.375,634532.0625,765537.625,524567.75,466014.7813,424574.25,476843.25,546440,592279.125,522971.6563,519848.125,"SPP2"
